Model,Scenario,ISO,Variable,Year,Value
Remind-Magpie_damages,Current Policies,EST,Population,2025,1.34
Remind-Magpie_damages,Current Policies,EST,GDP_damage,2025,45.8594363877618
Remind-Magpie_damages,Current Policies,ETH,Population,2025,132.7986
Remind-Magpie_damages,Current Policies,ETH,GDP_damage,2025,320.166548080118
Remind-Magpie_damages,Current Policies,EU27,Population,2025,443.6964
Remind-Magpie_damages,Current Policies,FIN,Population,2025,5.5051
Remind-Magpie_damages,Current Policies,FIN,GDP_damage,2025,255.768595981148
Remind-Magpie_damages,Current Policies,FRA,Population,2025,64.7393
Remind-Magpie_damages,Current Policies,FRA,GDP_damage,2025,2826.6760261311
Remind-Magpie_damages,Current Policies,GAB,Population,2025,2.5495
Remind-Magpie_damages,Current Policies,GAB,GDP_damage,2025,31.7364784037638
Remind-Magpie_damages,Current Policies,GBR,Population,2025,67.4562
Remind-Magpie_damages,Current Policies,GBR,GDP_damage,2025,2930.47726880379
Remind-Magpie_damages,Current Policies,GEO,Population,2025,3.6618
Remind-Magpie_damages,Current Policies,GEO,GDP_damage,2025,72.870336627649
Remind-Magpie_damages,Current Policies,GHA,Population,2025,35.8141
Remind-Magpie_damages,Current Policies,GHA,GDP_damage,2025,175.852446004961
Remind-Magpie_damages,Current Policies,GRC,Population,2025,10.3055
Remind-Magpie_damages,Current Policies,GRC,GDP_damage,2025,313.732957947428
Remind-Magpie_damages,Current Policies,GTM,Population,2025,18.7583
Remind-Magpie_damages,Current Policies,GTM,GDP_damage,2025,165.506114000369
