"Model","Scenario","Region","Variable","Unit","2020","2025","2030","2035","2040","2045","2050","2055","2060","2065","2070","2075","2080","2085","2090","2095","2100"
"Downscaling[REMIND-MAgPIE 3.3-4.8 IntegratedPhysicalDamages (median)]","Below 2?C","COD","GDP|PPP|including medium chronic physical risk damage estimate","billion US$2010/yr",94.7567,118.621374510857,141.809916428431,181.087659203479,249.628226648929,347.141193628703,472.274787305611,644.140995477597,867.968233854768,1183.24308148351,1536.67006497662,2058.14516881404,2623.79484628982,3375.41152542591,4185.75488206979,5211.94413618493,6320.46824345051
"Downscaling[REMIND-MAgPIE 3.3-4.8 IntegratedPhysicalDamages (median)]","Below 2?C","COG","Population","million",5.7158,6.4375,7.1829,7.9402,8.692,9.4156,10.1014,10.7302,11.291,11.7672,12.2239,12.5252,12.8085,12.9499,13.0956,13.1081,13.1253
"Downscaling[REMIND-MAgPIE 3.3-4.8 IntegratedPhysicalDamages (median)]","Below 2?C","COG","GDP|PPP|including medium chronic physical risk damage estimate","billion US$2010/yr",20.2952,21.5076059641606,23.9890295391064,28.0021731232142,34.2760354045563,42.1291150599651,51.0603804846632,62.7732390417858,77.077513035749,96.7132711451247,116.462793566163,145.63154333413,174.459715816726,211.869057072652,248.718056397268,293.880802027159,339.238839789514
"Downscaling[REMIND-MAgPIE 3.3-4.8 IntegratedPhysicalDamages (median)]","Below 2?C","COL","Population","million",51.0151,52.8939,54.6868,56.0904,57.1136,57.7512,58.0579,58.0903,57.8842,57.3665,56.8402,55.9405,54.9877,53.7706,52.5549,51.2792,50.0778
"Downscaling[REMIND-MAgPIE 3.3-4.8 IntegratedPhysicalDamages (median)]","Below 2?C","COL","GDP|PPP|including medium chronic physical risk damage estimate","billion US$2010/yr",664.5907,745.17853029011,816.29184405551,924.185463390188,1068.36379683435,1237.07426435789,1430.23682570367,1651.3528258434,1861.32338361864,2088.4626728369,2318.57889985584,2577.16408399598,2840.34221790024,3079.11465046791,3311.09576993115,3551.52073253394,3771.45595752102
"Downscaling[REMIND-MAgPIE 3.3-4.8 IntegratedPhysicalDamages (median)]","Below 2?C","CRI","Population","million",5.1455,5.3043,5.4583,5.5869,5.6881,5.7593,5.7974,5.8073,5.794,5.7496,5.7042,5.6168,5.5219,5.3942,5.2612,5.1175,4.9745
"Downscaling[REMIND-MAgPIE 3.3-4.8 IntegratedPhysicalDamages (median)]","Below 2?C","CRI","GDP|PPP|including medium chronic physical risk damage estimate","billion US$2010/yr",97.5938,110.791796526731,120.983720342289,136.687432560275,154.712342993845,174.14637456694,195.089239759881,218.131573810064,238.872864979742,260.62175273465,280.862243835045,302.834143242316,323.825942411983,340.864077281998,356.150421411787,371.411245015042,383.454375666742
"Downscaling[REMIND-MAgPIE 3.3-4.8 IntegratedPhysicalDamages (median)]","Below 2?C","CUB","Population","million",11.3982,11.3122,11.2446,11.1315,10.979,10.7828,10.5504,10.2797,9.9872,9.6764,9.4217,9.1637,8.9549,8.7278,8.5153,8.2973,8.098
"Downscaling[REMIND-MAgPIE 3.3-4.8 IntegratedPhysicalDamages (median)]","Below 2?C","CUB","GDP|PPP|including medium chronic physical risk damage estimate","billion US$2010/yr",72.6736,77.4469592381424,91.6525583848505,110.880243961475,138.985975804617,174.185090558539,216.107474324506,264.055384427901,311.69845136752,363.647042948936,417.502999824191,478.977990083416,544.923323438713,609.153483719697,674.418260776812,743.770715236916,811.027407011958
"Downscaling[REMIND-MAgPIE 3.3-4.8 IntegratedPhysicalDamages (median)]","Below 2?C","CYP","Population","million",1.2407,1.2774,1.3069,1.334,1.3602,1.3869,1.414,1.4362,1.4524,1.4598,1.4593,1.4512,1.4351,1.4121,1.3869,1.3595,1.3337
"Downscaling[REMIND-MAgPIE 3.3-4.8 IntegratedPhysicalDamages (median)]","Below 2?C","CYP","GDP|PPP|including medium chronic physical risk damage estimate","billion US$2010/yr",35.9265,39.7145600413217,43.8536561750706,48.2046072687897,52.5419824683764,57.5296440183797,63.084348160649,69.1080173236908,74.3447648547105,80.2106612964867,86.4993426536234,93.0876175404979,99.6551794324754,105.369937363559,111.292213469782,117.081571901746,123.000848523839
"Downscaling[REMIND-MAgPIE 3.3-4.8 IntegratedPhysicalDamages (median)]","Below 2?C","CZE","Population","million",10.5968,10.789,10.6405,10.4894,10.3569,10.2605,10.1916,10.126,10.0381,9.9074,9.7458,9.5808,9.4335,9.3071,9.2053,9.0997,9.001
"Downscaling[REMIND-MAgPIE 3.3-4.8 IntegratedPhysicalDamages (median)]","Below 2?C","CZE","GDP|PPP|including medium chronic physical risk damage estimate","billion US$2010/yr",395.3227,397.464416469597,416.38559841528,435.577563237308,454.042028180787,476.990158168052,503.676387588922,532.022994451374,553.265055919126,577.55128407156,603.541312071231,631.34129067715,659.45625417237,682.514419122516,706.158483257935,726.764692675567,745.026322253956
"Downscaling[REMIND-MAgPIE 3.3-4.8 IntegratedPhysicalDamages (median)]","Below 2?C","DEU","Population","million",83.7329,83.1263,82.4598,81.9027,81.4023,80.9679,80.5313,80.0367,79.5062,78.9325,78.4239,77.9098,77.2542,76.3785,75.4417,74.3483,73.2963
"Downscaling[REMIND-MAgPIE 3.3-4.8 IntegratedPhysicalDamages (median)]","Below 2?C","DEU","GDP|PPP|including medium chronic physical risk damage estimate","billion US$2010/yr",4078.7929,4006.34817557192,4076.74103962569,4187.031371486,4336.25517005692,4556.23562290305,4814.3591761835,5065.78023699854,5246.78189661573,5458.46084418786,5699.84520273361,5972.17563983487,6243.8168667201,6446.8227147623,6631.89733145107,6770.44950524708,6881.89003259284
"Downscaling[REMIND-MAgPIE 3.3-4.8 IntegratedPhysicalDamages (median)]","Below 2?C","DNK","Population","million",5.8433,5.8698,5.9254,5.9817,6.0301,6.0781,6.1375,6.1954,6.255,6.3136,6.3754,6.438,6.4946,6.5332,6.5594,6.5656,6.5766
