country,technology,Year,wacc,ISO,inflation,gdp,unemployment,population,is_solar,is_wind_onshore,is_wind_offshore,GDP_PPP
Ireland,wind offshore,2018,0.0775,IRL,0.92433709655964,74427.5520727589,5.741,4867316.0,0,0,1,456565864974.465
Ireland,wind onshore,2013,0.09,IRL,1.33941394529278,47999.1237980737,13.735,4623816.0,0,1,0,279713877387.154
Ireland,wind onshore,2015,0.0858333333333333,IRL,8.90845059884661,64311.8234684057,9.908,4701957.0,0,1,0,381109379274.849
Ireland,solar pv,2015,0.0775,IRL,8.90845059884661,64311.8234684057,9.908,4701957.0,1,0,0,381109379274.849
Ireland,wind onshore,2010,0.07304,IRL,-2.85830318555095,47040.3543858023,14.534,4560155.0,0,1,0,270352475100.85
Ireland,wind onshore,2016,0.0658999999999998,IRL,0.119373685791231,64367.4069016353,8.374,4755335.0,0,1,0,385768969692.059
Ireland,solar pv,2020,0.0993,IRL,-1.92433938965517,81791.0934649925,5.623,4985382.0,1,0,0,513907097887.8
Ireland,wind onshore,2020,0.03255,IRL,-1.92433938965517,81791.0934649925,5.623,4985382.0,0,1,0,513907097887.8
Sultanate of Oman,solar pv,2023,0.177005,OMN,-4.05592540343423,18098.5776925062,3.176,5049269.0,1,0,0,193444656976.928
Italian Republic,wind onshore,2014,0.08,ITA,0.902550731497669,30091.3481539205,12.683,60789140.0,0,1,0,2824556382187.18
Italian Republic,wind onshore,2019,0.05025,ITA,1.04700690370913,32180.4341021496,9.951,59729081.0,0,1,0,2967975656056.41
Italian Republic,wind onshore,2018,0.0644,ITA,1.07058153142322,31675.5758014951,10.61,60421760.0,0,1,0,2955292647233.44
Italian Republic,solar pv,2023,0.11021828,ITA,5.81875394007432,34088.088128227,7.627,58993475.0,1,0,0,3105197489931.13
Italian Republic,wind onshore,2013,0.08,ITA,1.12578398838561,30369.1293679326,12.149,60233948.0,0,1,0,2824595577398.61
Italian Republic,wind onshore,2015,0.0708333333333333,ITA,0.782776474937791,30387.1293187854,11.896,60730582.0,0,1,0,2849572563982.6
Italian Republic,solar pv,2015,0.085,ITA,0.782776474937791,30387.1293187854,11.896,60730582.0,1,0,0,2849572563982.6
Italian Republic,solar pv,2017,0.0469771275,ITA,0.709821721481291,31356.224035187,11.211,60536709.0,1,0,0,2931063110830.12
Italian Republic,wind onshore,2017,0.043072543,ITA,0.709821721481291,31356.224035187,11.211,60536709.0,0,1,0,2931063110830.12
Italian Republic,solar pv,2020,0.043325,ITA,1.57740277527265,29469.7989279182,9.164,59438851.0,1,0,0,2704769009404.61
Italian Republic,wind onshore,2020,0.04425,ITA,1.57740277527265,29469.7989279182,9.164,59438851.0,0,1,0,2704769009404.61
Jamaica,solar pv,2023,0.168225,JAM,11.6865531940529,5328.61624140582,4.4,2839786.0,1,0,0,29225125642.3087
Jamaica,solar pv,2016,0.039,JAM,4.66411175576692,5119.03971902628,8.634,2809915.0,1,0,0,27780369054.9159
Hashemite Kingdom of Jordan,solar pv,2013,0.162,JOR,6.1436238894444,4556.52023716712,12.6,7991809.0,1,0,0,86306374406.1217
Kingdom of Morocco,solar pv,2020,0.0907,MAR,0.142417962079094,3090.89428710938,11.223,36584208.0,1,0,0,299094704579.634
Republic of Malta,solar pv,2015,0.091,MLT,4.20024274625111,25481.8977555627,5.389,445053.0,1,0,0,20482517054.3792
Republic of Mozambique,solar pv,2023,0.271028,MOZ,5.30134150828523,610.174972826279,3.519,33635160.0,1,0,0,50844136708.1592
Republic of Senegal,solar pv,2023,0.19455,SEN,3.85182919223391,1463.19101905166,2.8,18077573.0,1,0,0,78044975251.5906
United Republic of Tanzania,solar pv,2023,0.20689,TZA,2.74821189393757,1092.86413574219,2.582,66617606.0,1,0,0,233786087616.827
Republic of Latvia,wind onshore,2014,0.093,LVA,1.66994936442666,12731.6774205863,10.846,1993782.0,0,1,0,58305835510.1633
Republic of Latvia,solar pv,2018,0.121,LVA,3.74028070418355,15120.0696016293,7.412,1927174.0,1,0,0,66930403613.2939
Republic of Latvia,solar pv,2019,0.121,LVA,4.31637930930459,15328.3861531528,6.312,1913822.0,1,0,0,67382434998.5826
Republic of Latvia,wind onshore,2018,0.0908,LVA,3.74028070418355,15120.0696016293,7.412,1927174.0,0,1,0,66930403613.2939
Republic of Latvia,wind onshore,2019,0.0908,LVA,4.31637930930459,15328.3861531528,6.312,1913822.0,0,1,0,67382434998.5826
Republic of Latvia,wind onshore,2013,0.093,LVA,1.90052883350897,12353.5388527084,11.867,2012647.0,0,1,0,57109416312.9734
Republic of Latvia,wind onshore,2015,0.121,LVA,0.386889189160144,13321.9753140616,9.873,1977527.0,0,1,0,60511758252.6533
Republic of Latvia,solar pv,2015,0.121,LVA,0.386889189160144,13321.9753140616,9.873,1977527.0,1,0,0,60511758252.6533
Republic of Lithuania,wind onshore,2014,0.085,LTU,0.609193063395622,13776.1052981213,10.698,2932367.0,0,1,0,99793417806.335
Republic of Lithuania,wind onshore,2016,0.06,LTU,0.987474343866324,14870.1049461514,7.862,2868231.0,0,1,0,105362308814.963
Republic of Lithuania,wind onshore,2019,0.095,LTU,2.3758604116648,17537.4819556631,6.255,2794137.0,0,1,0,121052023458.052
Republic of Lithuania,wind onshore,2018,0.08,LTU,3.5930097078956,16709.5561779447,6.147,2801543.0,0,1,0,115642994073.094
Republic of Lithuania,wind onshore,2013,0.085,LTU,0.833826421712175,13161.6342669635,11.77,2957689.0,0,1,0,96165533330.6493
Republic of Lithuania,wind onshore,2015,0.065225,LTU,-0.0022548670453801,14300.2553666736,9.12,2904910.0,0,1,0,102620374305.644
Republic of Lithuania,solar pv,2015,0.0891333333333333,LTU,-0.0022548670453801,14300.2553666736,9.12,2904910.0,1,0,0,102620374305.644
Malaysia,solar pv,2020,0.0561,MYS,-0.818007729183023,10171.4657842762,4.54,33889558.0,1,0,0,989590433102.722
Malaysia,solar pv,2016,0.1,MYS,1.65825996642414,9901.47960179812,3.44,31789685.0,1,0,0,903633582498.53
Republic of Tunisia,solar pv,2020,0.1075,TUN,6.80569317573834,3749.26722435797,17.656,11974057.0,1,0,0,142363058072.861
Kingdom of Morocco,solar pv,2023,0.106228,MAR,6.36094888191869,3403.31982421875,9.044,37712505.0,1,0,0,339602809128.74
Republic of South Africa,solar pv,2023,0.181133,ZAF,4.80427142532388,5747.41965032482,32.098,63212384.0,1,0,0,
United Mexican States,solar pv,2016,0.045,MEX,6.07758782303863,10100.5021214015,3.853,122251351.0,1,0,0,2637971847926.75
United Mexican States,solar pv,2019,0.0975,MEX,4.31901022867262,10159.4448355881,3.477,125762982.0,1,0,0,2729583147164.59
United Mexican States,solar pv,2021,0.0975,MEX,4.48797277024499,9728.05680032556,4.019,127648148.0,1,0,0,2652858836379.45
United Mexican States,solar pv,2022,0.11,MEX,6.49719200406193,10011.2545383826,3.256,128613117.0,1,0,0,2750725746006.69
United Mexican States,solar pv,2020,0.0874666666666666,MEX,4.61979011759097,9234.64362485294,4.44,126799054.0,1,0,0,2501552827775.9
United Mexican States,wind onshore,2020,0.0429,MEX,4.61979011759097,9234.64362485294,4.44,126799054.0,0,1,0,2501552827775.9
Kingdom of Saudi Arabia,solar pv,2023,0.09498,SAU,-2.96488667496891,23331.7694701019,4.008,33264292.0,1,0,0,1831378891210.63
Republic of Malta,wind onshore,2013,0.071,MLT,2.2557454257814,22565.0085794121,6.106,425967.0,0,1,0,17360062393.1651
Arab Republic of Egypt,solar pv,2020,0.0971,EGY,6.17693409847963,3770.86947867421,7.974,109315124.0,1,0,0,1673531030392.09
Hashemite Kingdom of Jordan,solar pv,2020,0.0895999999999999,JOR,-0.708587970279524,3806.87949354914,19.213,10865228.0,1,0,0,98033034783.6004
Republic of Cameroon,solar pv,2023,0.21674,CMR,4.65972285962381,1466.76885819356,3.613,28372687.0,1,0,0,138191179830.771
Federal Republic of Nigeria,solar pv,2023,0.21588,NGA,12.6218692275514,2416.36198205178,3.074,227882945.0,1,0,0,1274562212859.96
Kingdom of the Netherlands,wind onshore,2014,0.064,NLD,0.344077998493205,45042.0669609307,7.419,16865008.0,0,1,0,1046403864562.64
Kingdom of the Netherlands,solar pv,2023,0.0531312,NLD,7.343742684744,51305.6282286444,3.537,17877117.0,1,0,0,1263446811684.38
Kingdom of the Netherlands,wind onshore,2018,0.053,NLD,2.53340287057884,48463.0299572209,3.832,17231624.0,0,1,0,1150353304209.32
Kingdom of the Netherlands,solar pv,2018,0.055,NLD,2.53340287057884,48463.0299572209,3.832,17231624.0,1,0,0,1150353304209.32
Kingdom of the Netherlands,wind onshore,2019,0.0483333333333333,NLD,3.02788368438249,49254.0158758866,3.379,17344874.0,0,1,0,1176812483869.51
Kingdom of the Netherlands,wind offshore,2019,0.0465,NLD,3.02788368438249,49254.0158758866,3.379,17344874.0,0,0,1,1176812483869.51
Kingdom of the Netherlands,solar pv,2019,0.055,NLD,3.02788368438249,49254.0158758866,3.379,17344874.0,1,0,0,1176812483869.51
Kingdom of the Netherlands,wind onshore,2020,0.02385,NLD,2.3557302816255,47086.5803832096,3.82,17441500.0,0,1,0,1131293925467.67
Kingdom of the Netherlands,solar pv,2020,0.02208,NLD,2.3557302816255,47086.5803832096,3.82,17441500.0,1,0,0,1131293925467.67
Kingdom of the Netherlands,wind offshore,2012,0.11,NLD,1.32912975468633,44631.8744697382,5.821,16754962.0,0,0,1,1030108677464.47
Kingdom of the Netherlands,wind onshore,2008,0.06,NLD,2.41226622140465,46227.2111445548,3.658,16445593.0,0,1,0,1047229103222.32
Republic of Namibia,solar pv,2023,0.177432,NAM,6.41362439275798,3965.35920570222,19.365,2963095.0,1,0,0,29943600297.0227
Kingdom of Norway,solar pv,2023,0.046818,NOR,-10.6191584030873,78912.3327624579,3.572,5519594.0,1,0,0,498097161978.137
Kingdom of Norway,wind onshore,2010,0.0761,NOR,5.95536133797087,72804.3956195341,3.527,4889252.0,0,1,0,407063417564.309
Kingdom of Norway,wind onshore,2016,0.0495799999999999,NOR,-1.59809716352439,75017.4944737055,4.68,5234519.0,0,1,0,449056913401.632
Kingdom of Norway,wind onshore,2020,0.0478,NOR,-2.51726059053333,75287.2059530897,4.424,5379475.0,0,1,0,463151553348.761
State of Israel,solar pv,2023,0.06384,ISR,4.26608944082265,42852.5810267712,3.596,9756600.0,1,0,0,471616636466.417
Islamic Republic of Pakistan,solar pv,2020,0.0644,PAK,9.9444982105729,1526.00597486307,6.127,235001746.0,1,0,0,1206737395064.25
Republic of Panama,solar pv,2023,0.129825,PAN,1.70673831397947,16872.8834654731,6.544,4458759.0,1,0,0,159908398388.522
Republic of Paraguay,solar pv,2023,0.1563,PRY,2.06875531020788,6431.71872824395,5.794,6844146.0,1,0,0,108021943477.43
Republic of Peru,solar pv,2023,0.1216395,PER,6.56634363134418,6552.55403560046,4.899,33845617.0,1,0,0,517643557313.445
Republic of Peru,solar pv,2015,0.043,PER,2.69052090074331,6231.71150338894,3.272,30457600.0,1,0,0,443017400751.14
Republic of Peru,solar pv,2016,0.029,PER,3.08088269037734,6392.25474941014,3.741,30866494.0,1,0,0,460531290566.662
Republic of Peru,wind onshore,2020,0.0788,PER,3.71917119669504,5831.83024758521,7.179,32838579.0,0,1,0,446999457900.808
Republic of Poland,wind onshore,2014,0.094,POL,0.482272387523025,12093.1622787394,8.971,38011735.0,0,1,0,1153081368765.59
Republic of Poland,wind onshore,2018,0.0457,POL,1.22699825174134,14551.0850277089,3.835,37974750.0,0,1,0,1386093998885.26
Republic of Poland,wind onshore,2019,0.0457,POL,3.02644690867653,15221.3090624454,3.267,37965475.0,0,1,0,1449583454736.59
